image_path,product_id,category,mask_path
dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/主图/画板 5.jpg,11,Bag,
dummy_images/YSL/包/备份/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-1.jpg,11,Bag,dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-1.jpg
dummy_images/YSL/包/备份/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-2.jpg,11,Bag,dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-2.jpg
dummy_images/YSL/包/备份/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-3.jpg,11,Bag,dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-3.jpg
dummy_images/YSL/包/备份/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/主图/cassandre matelassé carré camera bag in lambskin (4).jpg,22,Bag,
dummy_images/YSL/包/备份/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (5).jpg,22,Bag,dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (5).jpg
dummy_images/YSL/包/备份/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (6).jpg,22,Bag,dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (6).jpg
dummy_images/YSL/包/备份/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (7).jpg,22,Bag,dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (7).jpg
dummy_images/CARTIER/翻新/备份/20250624/4732-CARTIER CARTIER D'AMOUR WEDDING RING B4093900无/主图/画板 1.jpg,33,Jewelry,
dummy_images/CARTIER/翻新/备份/20250624/4732-CARTIER CARTIER D'AMOUR WEDDING RING B4093900无/附图/4732-3.jpg,33,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4732-CARTIER CARTIER D'AMOUR WEDDING RING B4093900无/附图/4732 3.jpg
dummy_images/CARTIER/翻新/备份/20250624/4732-CARTIER CARTIER D'AMOUR WEDDING RING B4093900无/附图/4732-4.jpg,33,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4732-CARTIER CARTIER D'AMOUR WEDDING RING B4093900无/附图/4732 4.jpg
dummy_images/CARTIER/翻新/备份/20250624/4736-CARTIER JUSTE UN CLOU RING B4231400/主图/画板 3.jpg,44,Jewelry,
dummy_images/CARTIER/翻新/备份/20250624/4736-CARTIER JUSTE UN CLOU RING B4231400/附图/4736-3.jpg,44,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4736-CARTIER JUSTE UN CLOU RING B4231400/附图/4736 3.jpg
dummy_images/CARTIER/翻新/备份/20250624/4736-CARTIER JUSTE UN CLOU RING B4231400/附图/4736-4.jpg,44,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4736-CARTIER JUSTE UN CLOU RING B4231400/附图/4736 4.jpg
dummy_images/CARTIER/翻新/备份/20250624/4736-CARTIER JUSTE UN CLOU RING B4231400/附图/4736-5.jpg,44,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4736-CARTIER JUSTE UN CLOU RING B4231400/附图/4736 5.jpg
dummy_images/CARTIER/翻新/备份/20250624/4736-CARTIER JUSTE UN CLOU RING B4231400/附图/4736-6.jpg,44,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4736-CARTIER JUSTE UN CLOU RING B4231400/附图/4736 6.jpg
dummy_images/CARTIER/翻新/备份/20250624/4742-CARTIER ETINCELLE DE CARTIER RING B4230300无/主图/画板 4.jpg,55,Jewelry,
dummy_images/CARTIER/翻新/备份/20250624/4742-CARTIER ETINCELLE DE CARTIER RING B4230300无/附图/4742-3.jpg,55,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4742-CARTIER ETINCELLE DE CARTIER RING B4230300无/附图/4742 3.jpg
dummy_images/CARTIER/翻新/备份/20250624/4742-CARTIER ETINCELLE DE CARTIER RING B4230300无/附图/4742-4.jpg,55,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4742-CARTIER ETINCELLE DE CARTIER RING B4230300无/附图/4742 4.jpg
dummy_images/CARTIER/翻新/备份/20250624/4742-CARTIER ETINCELLE DE CARTIER RING B4230300无/附图/4742-5.jpg,55,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4742-CARTIER ETINCELLE DE CARTIER RING B4230300无/附图/4742 5.jpg
dummy_images/CARTIER/翻新/备份/20250624/4742-CARTIER ETINCELLE DE CARTIER RING B4230300无/附图/4742-6.jpg,55,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4742-CARTIER ETINCELLE DE CARTIER RING B4230300无/附图/4742 6.jpg
dummy_images/CARTIER/翻新/备份/20250624/4744-CARTIER ETINCELLE DE CARTIER RING B4095800/主图/画板 5.jpg,66,Jewelry,
dummy_images/CARTIER/翻新/备份/20250624/4744-CARTIER ETINCELLE DE CARTIER RING B4095800/附图/4744-3.jpg,66,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4744-CARTIER ETINCELLE DE CARTIER RING B4095800/附图/4744 3.jpg
dummy_images/CARTIER/翻新/备份/20250624/4744-CARTIER ETINCELLE DE CARTIER RING B4095800/附图/4744-4.jpg,66,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4744-CARTIER ETINCELLE DE CARTIER RING B4095800/附图/4744 4.jpg
dummy_images/CARTIER/翻新/备份/20250624/4744-CARTIER ETINCELLE DE CARTIER RING B4095800/附图/4744-5.jpg,66,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4744-CARTIER ETINCELLE DE CARTIER RING B4095800/附图/4744 5.jpg
dummy_images/CARTIER/翻新/备份/20250624/4746-CARTIER ETINCELLE DE CARTIER RING B4230200无/主图/画板 7.jpg,77,Jewelry,
dummy_images/CARTIER/翻新/备份/20250624/4746-CARTIER ETINCELLE DE CARTIER RING B4230200无/附图/4746-3.jpg,77,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4746-CARTIER ETINCELLE DE CARTIER RING B4230200无/附图/4746 3.jpg
dummy_images/CARTIER/翻新/备份/20250624/4746-CARTIER ETINCELLE DE CARTIER RING B4230200无/附图/4746-4.jpg,77,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4746-CARTIER ETINCELLE DE CARTIER RING B4230200无/附图/4746 4.jpg
dummy_images/CARTIER/翻新/备份/20250624/4746-CARTIER ETINCELLE DE CARTIER RING B4230200无/附图/4746-5.jpg,77,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4746-CARTIER ETINCELLE DE CARTIER RING B4230200无/附图/4746 5.jpg
dummy_images/CARTIER/翻新/备份/20250624/4756-CARTIER 1895 WEDDING RING B4058300/主图/画板 11.jpg,88,Jewelry,
dummy_images/CARTIER/翻新/备份/20250624/4756-CARTIER 1895 WEDDING RING B4058300/附图/4756-2.jpg,88,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4756-CARTIER 1895 WEDDING RING B4058300/附图/4756 2.jpg
dummy_images/CARTIER/翻新/备份/20250624/4756-CARTIER 1895 WEDDING RING B4058300/附图/4756-3.jpg,88,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4756-CARTIER 1895 WEDDING RING B4058300/附图/4756 3.jpg
dummy_images/CARTIER/翻新/备份/20250624/4756-CARTIER 1895 WEDDING RING B4058300/附图/4756-4.jpg,88,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4756-CARTIER 1895 WEDDING RING B4058300/附图/4756 4.jpg
dummy_images/CARTIER/翻新/备份/20250624/4756-CARTIER 1895 WEDDING RING B4058300/附图/4756-5.jpg,88,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4756-CARTIER 1895 WEDDING RING B4058300/附图/4756 5.jpg
dummy_images/CARTIER/翻新/备份/20250624/4758-CARTIER JUSTE UN CLOU RING B4211000/主图/画板 13.jpg,87,Jewelry,
dummy_images/CARTIER/翻新/备份/20250624/4758-CARTIER JUSTE UN CLOU RING B4211000/附图/4758-3.jpg,87,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4758-CARTIER JUSTE UN CLOU RING B4211000/附图/4758 3.jpg
dummy_images/CARTIER/翻新/备份/20250624/4758-CARTIER JUSTE UN CLOU RING B4211000/附图/4758-4.jpg,87,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4758-CARTIER JUSTE UN CLOU RING B4211000/附图/4758 4.jpg
dummy_images/CARTIER/翻新/备份/20250624/4758-CARTIER JUSTE UN CLOU RING B4211000/附图/4758-5.jpg,87,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4758-CARTIER JUSTE UN CLOU RING B4211000/附图/4758 5.jpg
dummy_images/CARTIER/翻新/备份/20250624/4759-CARTIER BRODERIE DE CARTIER WEDDING BAND B4225400无/主图/画板 14.jpg,99,Jewelry,
dummy_images/CARTIER/翻新/备份/20250624/4759-CARTIER BRODERIE DE CARTIER WEDDING BAND B4225400无/附图/4759-2.jpg,99,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4759-CARTIER BRODERIE DE CARTIER WEDDING BAND B4225400无/附图/4759 2.jpg
dummy_images/CARTIER/翻新/备份/20250624/4759-CARTIER BRODERIE DE CARTIER WEDDING BAND B4225400无/附图/4759-3.jpg,99,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4759-CARTIER BRODERIE DE CARTIER WEDDING BAND B4225400无/附图/4759 3.jpg
dummy_images/CARTIER/翻新/备份/20250624/4759-CARTIER BRODERIE DE CARTIER WEDDING BAND B4225400无/附图/4759-4.jpg,99,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4759-CARTIER BRODERIE DE CARTIER WEDDING BAND B4225400无/附图/4759 4.jpg
dummy_images/CARTIER/翻新/备份/20250624/4759-CARTIER BRODERIE DE CARTIER WEDDING BAND B4225400无/附图/4759-5.jpg,99,Jewelry,dummy_images/CARTIER/翻新/已整理/20250624/4759-CARTIER BRODERIE DE CARTIER WEDDING BAND B4225400无/附图/4759 5.jpg
dummy_images/CHANEL/2.22/CHANEL BRACELET ABF061/主图/画板 1.jpg,111,Jewelry,
dummy_images/CHANEL/备分/CHANEL BRACELET ABF061/附图/AB-1.jpg,111,Jewelry,dummy_images/CHANEL/2.22/CHANEL BRACELET ABF061/附图/AB-1.jpg
dummy_images/CHANEL/备分/CHANEL BRACELET ABF061/附图/AB-2.jpg,111,Jewelry,dummy_images/CHANEL/2.22/CHANEL BRACELET ABF061/附图/AB-2.jpg
dummy_images/CHANEL/备分/CHANEL BRACELET ABF061/附图/AB-3.jpg,111,Jewelry,dummy_images/CHANEL/2.22/CHANEL BRACELET ABF061/附图/AB-3.jpg
dummy_images/CHANEL/备分/CHANEL CHOKER ABE914/主图/画板 3.jpg,112,Jewelry,
