image_path,product_id,wm_image_path,mask_path,category,wm_local_mask,
dummy_images\CARTIER\翻新\备份\20250624\4736-CARTIER JUSTE UN CLOU RING B4231400\主图\画板 3.jpg,600,,,,,
dummy_images\CARTIER\翻新\备份\20250624\4736-CARTIER JUSTE UN CLOU RING B4231400\附图\4736-3.jpg,600,dummy_images\CARTIER\翻新\已整理\20250624\4736-CARTIER JUSTE UN CLOU RING B4231400\附图\4736 3.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4736-CARTIER JUSTE UN CLOU RING B4231400\附图\4736-4.jpg,600,dummy_images\CARTIER\翻新\已整理\20250624\4736-CARTIER JUSTE UN CLOU RING B4231400\附图\4736 4.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4736-CARTIER JUSTE UN CLOU RING B4231400\附图\4736-5.jpg,600,dummy_images\CARTIER\翻新\已整理\20250624\4736-CARTIER JUSTE UN CLOU RING B4231400\附图\4736 5.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4736-CARTIER JUSTE UN CLOU RING B4231400\附图\4736-6.jpg,600,dummy_images\CARTIER\翻新\已整理\20250624\4736-CARTIER JUSTE UN CLOU RING B4231400\附图\4736 6.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4742-CARTIER ETINCELLE DE CARTIER RING B4230300无\主图\画板 4.jpg,601,,,,,
dummy_images\CARTIER\翻新\备份\20250624\4742-CARTIER ETINCELLE DE CARTIER RING B4230300无\附图\4742-3.jpg,601,dummy_images\CARTIER\翻新\已整理\20250624\4742-CARTIER ETINCELLE DE CARTIER RING B4230300无\附图\4742 3.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4742-CARTIER ETINCELLE DE CARTIER RING B4230300无\附图\4742-4.jpg,601,dummy_images\CARTIER\翻新\已整理\20250624\4742-CARTIER ETINCELLE DE CARTIER RING B4230300无\附图\4742 4.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4742-CARTIER ETINCELLE DE CARTIER RING B4230300无\附图\4742-5.jpg,601,dummy_images\CARTIER\翻新\已整理\20250624\4742-CARTIER ETINCELLE DE CARTIER RING B4230300无\附图\4742 5.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4746-CARTIER ETINCELLE DE CARTIER RING B4230200无\主图\画板 7.jpg,602,,,,,
dummy_images\CARTIER\翻新\备份\20250624\4746-CARTIER ETINCELLE DE CARTIER RING B4230200无\附图\4746-2.jpg,602,dummy_images\CARTIER\翻新\已整理\20250624\4746-CARTIER ETINCELLE DE CARTIER RING B4230200无\附图\4746 2.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4746-CARTIER ETINCELLE DE CARTIER RING B4230200无\附图\4746-3.jpg,602,dummy_images\CARTIER\翻新\已整理\20250624\4746-CARTIER ETINCELLE DE CARTIER RING B4230200无\附图\4746 3.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4746-CARTIER ETINCELLE DE CARTIER RING B4230200无\附图\4746-4.jpg,602,dummy_images\CARTIER\翻新\已整理\20250624\4746-CARTIER ETINCELLE DE CARTIER RING B4230200无\附图\4746 4.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4746-CARTIER ETINCELLE DE CARTIER RING B4230200无\附图\4746-5.jpg,602,dummy_images\CARTIER\翻新\已整理\20250624\4746-CARTIER ETINCELLE DE CARTIER RING B4230200无\附图\4746 5.jpg,,,,
dummy_images\CARTIER\翻新\备份\20250624\4756-CARTIER 1895 WEDDING RING B4058300\主图\画板 11.jpg,603,,,,,
