image_path,product_id,wm_image_path,mask_path,category,wm_local_mask
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\主图\W4BL0003.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\主图\W4BL0003.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-1.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-1.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-2.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-2.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-3.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-3.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-4.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-4.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-5.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-5.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-6.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-6.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\主图\WGNM0003.png,2,,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-1.png,2,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-1.png,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-2.png,2,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-2.png,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-3.png,2,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-3.png,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-4.webp,2,,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\主图\WSPN0015.jpeg,3,,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-1.jpeg,3,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-1.jpeg,,,
