image_path,product_id,category,mask_path,wm_image_path,wm_local_mask
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\15.CARTIER BLUE BALLOON SERIES WATCH WJBB0011\主图\WJBB0011.jpg,100,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\15.CARTIER BLUE BALLOON SERIES WATCH WJBB0011\附图\WJBB0011-1.jpg,100,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\15.CARTIER BLUE BALLOON SERIES WATCH WJBB0011\附图\WJBB0011-1.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\15.CARTIER BLUE BALLOON SERIES WATCH WJBB0011\附图\WJBB0011-2.jpg,100,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\15.CARTIER BLUE BALLOON SERIES WATCH WJBB0011\附图\WJBB0011-2.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\15.CARTIER BLUE BALLOON SERIES WATCH WJBB0011\附图\WJBB0011-3.jpg,100,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\15.CARTIER BLUE BALLOON SERIES WATCH WJBB0011\附图\WJBB0011-3.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\18.CARTIER PASHA DO SILVER DIAL WATCH WSPA0012\主图\WSPA0012.jpg,101,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\18.CARTIER PASHA DO SILVER DIAL WATCH WSPA0012\附图\WSPA0012-1.jpg,101,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\18.CARTIER PASHA DO SILVER DIAL WATCH WSPA0012\附图\WSPA0012-1.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\18.CARTIER PASHA DO SILVER DIAL WATCH WSPA0012\附图\WSPA0012-2.jpg,101,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\18.CARTIER PASHA DO SILVER DIAL WATCH WSPA0012\附图\WSPA0012-2.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\18.CARTIER PASHA DO SILVER DIAL WATCH WSPA0012\附图\WSPA0012-3.jpg,101,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\18.CARTIER PASHA DO SILVER DIAL WATCH WSPA0012\附图\WSPA0012-3.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\19.CARTIER PASHA DO WATCH WSPA0021\主图\WSPA0021.jpg,102,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\19.CARTIER PASHA DO WATCH WSPA0021\附图\WSPA0021-1.jpg,102,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\19.CARTIER PASHA DO WATCH WSPA0021\附图\WSPA0021-1.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\19.CARTIER PASHA DO WATCH WSPA0021\附图\WSPA0021-2.jpg,102,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\19.CARTIER PASHA DO WATCH WSPA0021\附图\WSPA0021-2.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\19.CARTIER PASHA DO WATCH WSPA0021\附图\WSPA0021-3.jpg,102,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\19.CARTIER PASHA DO WATCH WSPA0021\附图\WSPA0021-3.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\25.CARTIER PASHA DE WATCH W2PA0007\主图\2-W2PA0007.jpg,103,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\25.CARTIER PASHA DE WATCH W2PA0007\附图\2-W2PA0007-01.jpg,103,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\25.CARTIER PASHA DE WATCH W2PA0007\详情图\2-W2PA0007-01.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\25.CARTIER PASHA DE WATCH W2PA0007\附图\2-W2PA0007-02.jpg,103,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\25.CARTIER PASHA DE WATCH W2PA0007\详情图\2-W2PA0007-02.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\25.CARTIER PASHA DE WATCH W2PA0007\附图\2-W2PA0007-03.jpg,103,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\25.CARTIER PASHA DE WATCH W2PA0007\详情图\2-W2PA0007-03.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\25.CARTIER PASHA DE WATCH W2PA0007\附图\2-W2PA0007-04.jpg,103,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\25.CARTIER PASHA DE WATCH W2PA0007\详情图\2-W2PA0007-04.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\25.CARTIER PASHA DE WATCH W2PA0007\附图\2-W2PA0007-05.jpg,103,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\25.CARTIER PASHA DE WATCH W2PA0007\详情图\2-W2PA0007-05.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\25.CARTIER PASHA DE WATCH W2PA0007\附图\2-W2PA0007-06.jpg,103,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\25.CARTIER PASHA DE WATCH W2PA0007\详情图\2-W2PA0007-06.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\25.CARTIER PASHA DE WATCH W2PA0007\附图\2-W2PA0007-07.jpg,103,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\25.CARTIER PASHA DE WATCH W2PA0007\详情图\2-W2PA0007-07.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\25.CARTIER PASHA DE WATCH W2PA0007\附图\2-W2PA0007-08.jpg,103,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\25.CARTIER PASHA DE WATCH W2PA0007\详情图\2-W2PA0007-08.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\29...CARTIER PASHA DE WATCH WGPA0018\主图\1-WGPA0018.jpeg,104,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\29...CARTIER PASHA DE WATCH WGPA0018\附图\1-WGPA0018-1.jpeg,104,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\29...CARTIER PASHA DE WATCH WGPA0018\附图\1-WGPA0018-1.jpeg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\12.25\原图\29...CARTIER PASHA DE WATCH WGPA0018\附图\1-WGPA0018-2.jpeg,104,watch,,dummy_images\WATCH\1.CARTIER\微商相册\12.25\已整理\29...CARTIER PASHA DE WATCH WGPA0018\附图\1-WGPA0018-2.jpeg,cvs\new_watermark.png
