image_path,product_id,category,mask_path,wm_image_path,wm_local_mask
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\主图\W4BL0003.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\主图\W4BL0003.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-1.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-1.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-2.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-2.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-3.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-3.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-4.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-4.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-5.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-5.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-6.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-6.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\主图\WGNM0003.png,2,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-1.png,2,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-1.png,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-2.png,2,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-2.png,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-3.png,2,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-3.png,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-4.webp,2,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\主图\WSPN0015.jpeg,3,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-1.jpeg,3,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-1.jpeg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-2.jpeg,3,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-2.jpeg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-3.jpeg,3,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-3.jpeg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-4.jpeg,3,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-4.jpeg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-5.jpeg,3,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-5.jpeg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-6.jpeg,3,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER PANTHèRE DE CARTIER WATCH WSPN0015\附图\WSPN0015-6.jpeg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER RONDE LOUIS CARTIER WATCH WGRN0013\主图\WGRN0013.jpeg,5,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER RONDE LOUIS CARTIER WATCH WGRN0013\附图\WGRN0013-1.jpeg,5,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER RONDE LOUIS CARTIER WATCH WGRN0013\附图\WGRN0013-1.jpeg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER RONDE LOUIS CARTIER WATCH WGRN0013\附图\WGRN0013-2.jpeg,5,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER RONDE LOUIS CARTIER WATCH WGRN0013\附图\WGRN0013-2.jpeg,cvs\new_watermark.png
