image_path,product_id,wm_image_path,category,wm_local_mask
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\主图\FD8776.jpg,1300,,,
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 01.jpg,1300,dummy_images\Shoes\NIKE\已整理\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 01.jpg,,
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 02.jpg,1300,dummy_images\Shoes\NIKE\已整理\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 02.jpg,,
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 03.jpg,1300,dummy_images\Shoes\NIKE\已整理\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 03.jpg,,
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 04.jpg,1300,dummy_images\Shoes\NIKE\已整理\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 04.jpg,,
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 05.jpg,1300,dummy_images\Shoes\NIKE\已整理\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\附图\FD8776 05.jpg,,
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\详情\FD8776-800 2.jpeg,1300,dummy_images\Shoes\NIKE\已整理\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\详情\FD8776-800 2.jpg,,
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\详情\FD8776-800 3.jpeg,1300,dummy_images\Shoes\NIKE\已整理\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\详情\FD8776-800 3.jpg,,
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\详情\FD8776-800 4.jpeg,1300,dummy_images\Shoes\NIKE\已整理\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\详情\FD8776-800 4.jpg,,
dummy_images\Shoes\NIKE\备份\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\详情\FD8776-800 5.jpeg,1300,dummy_images\Shoes\NIKE\已整理\20250826\NIKE CONCEPTS X NK SB DUNK LOW FD8776-800\详情\FD8776-800 5.jpg,,
