image_path,product_id,wm_image_path,,category,wm_local_mask
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\主图\W4BL0003.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\主图\W4BL0003.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-1.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-1.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-2.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-2.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-3.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-3.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-4.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-4.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-5.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-5.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-6.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-6.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-01.jpg,1,,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-02.jpg,1,,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-03.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-03.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-04.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-04.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-05.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-05.jpg,,,
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-06.jpg,1,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-06.jpg,,,
