image_path,product_id,category,mask_path,wm_image_path,wm_local_mask
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\主图\W4BL0003.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\主图\W4BL0003.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-1.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-1.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-2.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-2.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-3.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-3.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-4.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-4.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-5.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-5.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-6.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\附图\W4BL0003-6.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-01.jpg,1,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-02.jpg,1,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-03.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-03.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-04.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-04.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-05.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-05.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-06.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-06.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-07.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-07.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-08.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-08.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-09.jpg,1,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER BALLON BLANC DE CARTIER WATCH W4BL0003\详情图\W4BL0003-09.jpg,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\主图\WGNM0003.png,2,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\主图\WGNM0003.webp,2,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-1.png,2,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-1.png,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-1.webp,2,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-2.png,2,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-2.png,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-2.webp,2,watch,,,cvs\new_watermark.png
dummy_images\WATCH\1.CARTIER\微商相册\11.18\原件\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-3.png,2,watch,,dummy_images\WATCH\1.CARTIER\微商相册\11.18\已整理\CARTIER DRIVE DE CARTIER WGNM0003\附图\WGNM0003-3.png,cvs\new_watermark.png
